user_id,name,surname,email,birth_date,nationality,marital_status,sex,height,weight,phone,country,city,state,zip_code,latitude,longitude,job_title,salary,salary_currency,employment_status,company_name,company_size,years_experience,job_satisfaction,work_from_home_days,commute_time_minutes,vacation_days,start_date,education_level,field_of_study,university,graduation_year,student_debt,gpa,blood_type,has_insurance,is_smoker,last_medical_check,bmi,bmi_category,weekly_exercise_hours,alcohol_consumption,diet_type,sleep_hours,chronic_conditions,allergies,number_of_children,dependents,living_with_parents,household_size,spouse_employed,annual_household_income,credit_score,housing_cost,food_expenses,transportation_cost,debt_amount,savings,investment_portfolio_value,monthly_disposable_income,has_mortgage
11,Guillermina,Covarrubias,guillermina.covarrubias15@yahoo.com,1987-05-21,Costa Rica,Separated,Female,168,97,+506 6910 8235,Costa Rica,Desmonte,Provincia de Alajuela,20402,9.9656,-84.4766,Developer,5429.0,USD,Full-time,Amazon,Enterprise (5000+),11,Very Satisfied,2,4,25,2015-07-13,Master,Computer Science,Cambridge,2011.0,24350.51,3.52,AB+,Yes,No,2024-11-16,34.4,Obese,3,None,Omnivore,6.8,None,None,2,2,No,4,Yes,111285.08,602,1735.45,787.12,438.93,1329.34,24614.74,37702.68,2467.49,No
12,Ike,Rocha,ike.rocha16@yahoo.com,1983-08-22,Russia,Married,Male,188,61,+7 944 436-37-97,Russia,Шелковников,Адыгея Республика,385437,44.5769,40.7178,Developer,5820.0,USD,Full-time,Google,Enterprise (5000+),19,Very Satisfied,2,18,32,2007-07-15,Bachelor,Computer Science,UNAM,2006.0,16567.6,3.84,O+,No,No,2026-04-18,17.3,Underweight,9,None,Omnivore,8.9,None,Pollen,0,0,No,2,No,76103.74,797,1741.73,965.23,625.73,1006.02,19827.38,21330.89,2487.3,No
13,Arlean,Craft,arlean.craft82@outlook.com,1978-02-01,Germany,Separated,Female,169,81,+49 181 764 1183,Germany,mobilcom-debitel AG,Baden-Württemberg,70545,48.7387,9.1115,Developer,5754.0,USD,Full-time,Adobe,Large (501-5000),26,Satisfied,4,100,32,2000-07-16,Technical,Computer Science,Vocational School,1998.0,0.0,,AB+,Yes,Yes,2025-09-27,28.4,Overweight,3,Moderate,Omnivore,8.3,None,None,1,1,No,3,Yes,124165.1,770,1925.86,577.01,467.86,3382.71,24215.29,22381.98,2783.27,No
14,Leopoldo,Noble,leopoldo.noble8@yahoo.com,1989-12-02,Malaysia,Single,Male,178,114,+60 1217 776 941,Malaysia,Johor Bahru,Johor,80564,1.4634,103.7547,Scientist,6936.0,USD,Full-time,Thermo Fisher Scientific Iberia,Large (501-5000),4,Neutral,1,104,20,2022-07-11,PhD,Science,Imperial College,2018.0,28884.26,3.29,AB+,Yes,No,2024-09-30,36.0,Obese,4,Moderate,Omnivore,5.8,None,None,1,1,No,2,Not Married,91229.07,636,1809.48,1200.27,654.5,2196.7,29947.3,33627.96,3271.75,No
15,Daphné,Pinard,daphné.pinard28@outlook.com,1987-10-20,France,Separated,Female,197,63,+33 6 62 29 88 61,France,Paris 02,Île-de-France,75002,48.8655,2.3426,Engineer,6846.0,USD,Full-time,Arup,Large (501-5000),18,Satisfied,2,86,35,2008-07-14,Technical,Engineering,Technical Institute,2008.0,0.0,,AB-,Yes,No,2024-10-22,16.2,Underweight,9,Moderate,Vegetarian,8.2,None,None,0,0,No,2,Yes,152730.23,620,2811.57,1021.96,819.67,6969.12,16605.53,23716.15,2192.8,Yes
16,Dylan,Howe,dylan.howe8@outlook.com,1984-12-06,India,Married,Male,192,96,+91 73116 44421,India,Sippighat,Andaman & Nicobar Islands,744105,11.6,92.7333,Chef,3310.0,USD,Full-time,Yum! Brands,Enterprise (5000+),18,Satisfied,3,45,32,2008-07-14,High School,Culinary Arts,Technical High School,2003.0,0.0,2.78,O+,Yes,No,2025-09-07,26.0,Overweight,2,Low,Mediterranean,7.4,None,None,1,1,No,3,Yes,75562.55,668,757.21,587.09,346.74,1272.56,7235.19,18167.27,1618.96,No
17,Clemente,Godoy,clemente.godoy21@yahoo.com,2001-09-12,Mexico,Separated,Male,172,60,+52 351 6725 8286,Mexico,México,Aguascalientes,20050,21.8197,-102.2364,Scientist,5950.0,USD,Full-time,Roche,Enterprise (5000+),0,Satisfied,0,22,17,2026-07-10,PhD,Science,University of Chicago,2030.0,27679.29,3.47,O+,Yes,Yes,2025-07-11,20.3,Normal,6,High,Omnivore,7.1,None,None,0,0,No,2,Yes,145030.34,668,1941.09,910.78,455.67,586.88,16930.68,45049.84,2642.46,Yes
18,Adam,Kelley,adam.kelley47@outlook.com,1978-09-16,Canada,Separated,Male,163,116,+1 856-348-4001,Canada,Red Deer Central,Alberta,G9U 6O4,52.2316,-113.8358,Teacher,4545.0,USD,Full-time,Pearson,Enterprise (5000+),21,Satisfied,3,62,33,2005-07-15,Bachelor,Education,UNAM,2001.0,24957.26,3.28,O-,Yes,Yes,2025-11-14,43.7,Obese,2,Low,Omnivore,5.5,None,None,2,2,No,4,Yes,99370.38,722,1500.4,753.56,384.12,3600.94,10037.23,9507.18,1906.91,Yes
19,Milford,Guy,milford.guy90@outlook.com,2002-12-22,Malaysia,Married,Male,152,89,+60 1683 123 547,Malaysia,Johor Bahru,Johor,80506,1.4634,103.7547,Developer,2807.0,USD,Full-time,Slack Technologies,Medium (51-500),1,Very Unsatisfied,2,92,19,2025-07-10,Technical,Computer Science,Community College,2023.0,0.0,,O-,Yes,No,2024-10-08,38.5,Obese,1,High,Omnivore,6.2,Hypertension,None,2,2,No,4,No,30463.04,586,573.92,457.97,230.67,5053.51,13273.13,28292.41,1544.43,No
20,Evita,Prieto,evita.prieto31@yahoo.com,2000-08-03,Algeria,Married,Female,170,56,+213 688 32 37 57,Algeria,Zaouiet Sidi Abdelkader,Adrar,01008,28.2145,-0.1335,Scientist,4760.0,USD,Full-time,Merck Group,Enterprise (5000+),0,Neutral,0,118,21,2026-07-10,Master,Science,ETH Zurich,2025.0,22188.08,3.67,B-,Yes,No,2024-10-21,19.4,Normal,10,None,Mediterranean,7.0,None,None,2,2,No,4,No,61673.2,759,1404.46,609.03,362.74,1740.57,21854.76,45729.6,2383.77,No
21,Alba,Vazquez,alba.vazquez67@outlook.com,1973-01-29,Malta,Separated,Female,187,88,+356 7494 9203,Malta,Birkirkara,Birkirkara,BKR,35.8972,14.4653,Engineer,9638.0,USD,Contract,Stantec,Large (501-5000),29,Very Satisfied,4,66,32,1997-07-17,Master,Engineering,ETH Zurich,1997.0,44632.71,3.63,A+,Yes,No,2026-04-09,25.2,Overweight,5,Moderate,Mediterranean,8.2,None,Medication,1,1,No,3,Yes,205576.41,756,3140.81,1169.9,894.27,6897.58,20763.56,39432.66,4433.02,No
22,Issac,Howe,issac.howe62@gmail.com,1985-02-12,Germany,Divorced,Male,199,82,+49 180 301 6721,Germany,Allianz Lebensversicherungs-AG,Baden-Württemberg,70151,48.7708,9.1681,Engineer,6564.0,USD,Contract,Arup,Large (501-5000),17,Very Satisfied,4,63,31,2009-07-14,Bachelor,Engineering,Stanford,2007.0,520.24,3.89,AB+,Yes,No,2026-05-19,20.7,Normal,3,None,Mediterranean,8.0,None,None,0,0,No,1,Not Married,83888.14,715,2119.51,898.38,547.29,6519.28,12875.62,34940.26,2998.83,Yes
23,Christopher,Nunez,christopher.nunez54@outlook.com,1989-01-08,Argentina,Widowed,Male,176,102,+54 9 11 1895-4212,Argentina,LA CIENEGUITA,Salta,K4141TYT,-26.4367,-65.97,Farmer,2376.0,USD,Full-time,John Deere Ibérica,Large (501-5000),15,Unsatisfied,3,57,22,2011-07-14,No degree,,,,0.0,,B+,Yes,Yes,2024-08-10,32.9,Obese,1,Low,Omnivore,7.6,Diabetes,None,0,0,No,1,Not Married,27972.77,703,762.04,289.18,219.13,1349.33,6228.12,18524.12,1105.65,No
24,Rémi,Boisseau,rémi.boisseau95@gmail.com,1998-07-31,France,Separated,Male,178,73,+33 9 51 77 76 78,France,Paris 01,Île-de-France,75030 CEDEX 01,48.8592,2.3417,Scientist,5049.0,USD,Full-time,Novozymes,Medium (51-500),2,Satisfied,2,115,15,2024-07-10,Master,Science,ETH Zurich,2023.0,15905.84,3.19,A+,Yes,No,2024-09-20,23.0,Normal,12,Low,Mediterranean,7.2,None,None,1,1,No,3,Yes,111377.74,723,1266.4,774.95,397.33,1375.57,21839.31,22861.48,2610.32,No
25,José Manuél,Aponte,josé manuél.aponte10@outlook.com,2005-03-22,Costa Rica,Widowed,Female,197,111,+506 7655 8508,Costa Rica,Buenos Aires,Provincia de Alajuela,20703,10.0719,-84.4347,Engineer,2991.0,USD,Full-time,Hilti,Medium (51-500),1,Neutral,4,67,17,2025-07-10,Technical,Engineering,Community College,2025.0,0.0,,AB+,No,No,2025-02-10,28.6,Overweight,1,Low,Vegetarian,6.6,None,None,0,0,Yes,3,Not Married,36324.14,637,1003.35,519.44,298.52,3357.63,5788.96,6678.04,1169.69,No
26,Graham,Rios,graham.rios24@yahoo.com,2002-08-31,Russia,Divorced,Male,196,115,+7 928 535-57-20,Russia,Игнатьевский,Адыгея Республика,385430,45.2145,40.6443,Scientist,5950.0,USD,Full-time,Merck Group,Enterprise (5000+),0,Very Satisfied,2,38,15,2026-07-10,PhD,Science,University of Chicago,2031.0,60329.12,3.51,B+,Yes,No,2025-04-06,29.9,Overweight,6,Moderate,Mediterranean,7.1,None,Dust,2,2,No,3,Not Married,65905.7,654,1198.15,1030.83,382.95,461.72,33969.7,83722.87,3338.07,No
27,Toni,Garrido,toni.garrido74@yahoo.com,1971-07-11,Algeria,Separated,Male,174,56,+213 703 56 90 37,Algeria,Ouled Ali,Adrar,01000,28.07,0.1158,Developer,8926.0,USD,Full-time,ServiceNow,Large (501-5000),29,Satisfied,0,83,31,1997-07-17,Bachelor,Computer Science,UNAM,1994.0,22498.56,3.08,AB+,Yes,No,2025-11-17,18.5,Underweight,11,Low,Pescatarian,7.6,None,Food,0,0,No,2,Yes,220075.16,850,3632.59,1065.43,558.04,0.0,30596.09,30247.2,3669.94,Yes
28,Elina,Miranda,elina.miranda5@yahoo.com,1972-07-04,Japan,Divorced,Female,169,113,+81 85 9282 3854,Japan,Matsunacho,Aichi Ken,498-0042,35.0772,136.7531,Designer,5977.0,USD,Full-time,Frog Design,Medium (51-500),27,Very Satisfied,3,15,35,1999-07-17,Bachelor,Design,University of Tokyo,1994.0,23619.52,3.82,O+,Yes,Yes,2025-10-20,39.6,Obese,4,High,Omnivore,6.3,Hypertension,None,2,2,No,3,Not Married,65903.55,762,2062.04,646.7,483.04,3513.8,19579.63,15892.52,2785.22,Yes
29,Neda,Rocha,neda.rocha67@outlook.com,1980-04-10,Australia,Married,Female,180,107,+61 473 423 370,Australia,Harman,Australian Capital Territory,2600,-35.35,149.2,Engineer,7300.0,USD,Contract,Bechtel,Enterprise (5000+),21,Satisfied,5,112,35,2005-07-15,Bachelor,Engineering,USP,2002.0,22730.96,2.34,B+,Yes,No,2026-01-14,33.0,Obese,2,Moderate,Omnivore,5.6,Hypertension,None,1,1,No,3,Yes,189547.57,717,3190.57,946.58,747.84,8396.24,19899.42,47789.97,2415.01,Yes
30,Fabiana,Vila,fabiana.vila1@gmail.com,1997-05-19,Malta,Separated,Female,174,77,+356 7861 8510,Malta,Santa Luċija,Saint Lucia,SLC,35.8617,14.5064,Doctor,5600.0,USD,Full-time,Mayo Clinic Arizona,Medium (51-500),0,Very Satisfied,3,18,15,2026-07-10,PhD,Medicine,University of Chicago,2025.0,20764.45,3.25,B-,Yes,No,2024-07-24,25.4,Overweight,7,Moderate,Omnivore,7.8,None,None,2,2,No,4,Yes,115746.91,633,1633.71,576.25,391.95,7759.31,24722.69,72539.24,2998.1,No
31,Rodrigo,Garrido,rodrigo.garrido7@outlook.com,1991-06-26,Spain,Divorced,Male,197,73,+34 670 630 170,Spain,El Palmer,Andalucia,04002,36.8381,-2.4597,Scientist,7184.0,USD,Contract,Novozymes,Medium (51-500),6,Very Satisfied,5,4,23,2020-07-11,PhD,Science,Yale,2019.0,60292.89,3.85,O+,Yes,No,2025-01-26,18.8,Normal,7,High,Mediterranean,7.7,None,None,1,1,No,2,Not Married,90355.32,545,2444.68,1176.91,669.62,19075.76,13753.84,18116.6,2892.79,Yes
32,Marco Antonio,Corrales,marco antonio.corrales30@yahoo.com,1998-08-22,Dominican Republic,Separated,Female,167,117,+1 809 955 7589,Dominican Republic,Los Millones,Los Millones,10140,18.4556,-69.95,Farmer,1442.0,USD,Full-time,Syngenta Group,Enterprise (5000+),7,Very Unsatisfied,0,23,26,2019-07-12,No degree,,,,0.0,,O-,Yes,No,2025-08-05,42.0,Obese,1,High,Keto,7.8,None,Food,2,2,No,4,Yes,36476.9,602,377.0,201.65,129.86,1299.53,5494.49,6214.45,733.48,Yes
33,Olga,Sáenz,olga.sáenz41@outlook.com,1994-12-07,Uruguay,Separated,Male,182,88,+598 9985 8268,Uruguay,Franquia,Artigas,55100,-30.214,-57.6131,Engineer,4676.0,USD,Full-time,Worley,Medium (51-500),7,Satisfied,3,99,23,2019-07-12,Bachelor,Engineering,University of Tokyo,2017.0,6031.76,3.53,AB+,Yes,No,2024-08-08,26.6,Overweight,2,High,Mediterranean,7.8,None,None,0,0,No,2,Yes,116023.43,633,1460.01,818.7,428.56,9116.02,9371.03,9635.84,1968.74,Yes
34,Dominic,Bowen,dominic.bowen19@outlook.com,1966-12-09,Sri Lanka,Widowed,Male,197,80,+94 77 231 176,Sri Lanka,Deltota,Central Province,20430,7.1944,80.6917,Designer,7430.0,USD,Full-time,Philips Design,Large (501-5000),37,Satisfied,0,88,33,1989-07-19,Technical,Design,Vocational School,1987.0,0.0,,A+,Yes,Yes,2026-03-10,20.6,Normal,5,Moderate,Omnivore,7.3,Arthritis,None,0,0,No,1,Not Married,87969.99,824,2078.54,1048.6,538.79,1123.34,36629.61,42023.53,3764.07,Yes
35,Rodrigo,Treviño,rodrigo.treviño4@gmail.com,2002-03-12,Chile,Single,Female,152,56,+56 9 2975 7843,Chile,Tierra Amarilla,Región de Atacama,1580000,-27.8657,-69.672,Chef,1956.0,USD,Contract,McDonald's,Enterprise (5000+),6,Very Unsatisfied,1,28,27,2020-07-11,No degree,,,,0.0,,B-,Yes,No,2025-08-27,24.2,Normal,12,Moderate,Omnivore,8.8,None,None,0,0,No,1,Not Married,23106.42,644,584.38,309.01,206.37,3007.5,5071.57,12192.04,856.24,No
36,Catalina,Partida,catalina.partida15@gmail.com,1978-03-03,Colombia,Divorced,Female,158,52,+57 375 582 9197,Colombia,Miriti - Parana,Amazonas,916057,-0.6853,-71.1859,Farmer,3767.0,USD,Full-time,Finca Moncloa,Small (1-50),29,Unsatisfied,0,117,31,1997-07-17,No degree,,,,0.0,,B+,No,No,2026-05-26,20.8,Normal,5,High,Pescatarian,8.9,None,Pollen,2,2,No,3,Not Married,46067.19,802,1204.19,596.09,377.29,422.59,11006.61,17775.56,1589.44,No
37,Alejandra,Feliciano,alejandra.feliciano87@gmail.com,1997-09-23,Colombia,Single,Male,163,100,+57 341 616 4216,Colombia,Puerto Santander,Amazonas,915010,-0.6217,-72.384,Chef,1630.0,USD,Full-time,El Celler de Can Roca,Small (1-50),5,Unsatisfied,2,5,16,2021-07-11,No degree,,,,0.0,,A+,Yes,No,2025-09-21,37.6,Obese,0,Moderate,Mediterranean,7.1,Hypertension,None,2,2,No,3,Not Married,21282.25,726,491.65,282.16,187.2,193.51,5754.84,11545.27,668.99,No
38,Dagmar,Harris,dagmar.harris84@yahoo.com,1966-09-09,Ukraine,Single,Female,200,97,+380 64 437 5127,Ukraine,Долинка,Cherkaska,19112,49.1588,30.1538,Chef,5522.0,USD,Full-time,El Celler de Can Roca,Small (1-50),37,Satisfied,0,26,35,1989-07-19,High School,Culinary Arts,Private High School,1985.0,0.0,2.72,B+,No,No,2025-08-27,24.2,Normal,12,Moderate,Omnivore,8.7,None,None,2,2,No,3,Not Married,69379.23,785,1484.17,799.83,574.93,1061.03,30008.89,57765.69,2663.07,Yes
39,Anika,Figueroa,anika.figueroa7@gmail.com,1970-10-23,New Zealand,Divorced,Female,195,76,+64 25 989 220,New Zealand,West Harbour,Auckland,0814,-36.8182,174.6102,Designer,6595.0,USD,Full-time,Samsung Design,Enterprise (5000+),31,Very Satisfied,5,75,31,1995-07-18,Technical,Design,Vocational School,1991.0,0.0,,B+,Yes,Yes,2026-05-12,20.0,Normal,8,Low,Omnivore,8.2,Asthma,None,2,2,No,3,Not Married,81814.78,698,1882.93,831.64,408.19,2119.03,32207.04,85088.95,3472.24,No
40,Ana María,Bravo,ana maría.bravo66@gmail.com,1976-05-11,Spain,Married,Female,179,62,+34 644 847 127,Spain,Pueblo Blanco,Andalucia,04117,36.9118,-2.1322,Engineer,8588.0,USD,Full-time,Fluor Corporation,Large (501-5000),25,Satisfied,3,95,32,2001-07-16,Master,Engineering,Oxford,2000.0,27639.59,3.06,B-,Yes,No,2026-01-31,19.4,Normal,5,Moderate,Omnivore,8.1,None,Medication,1,1,No,3,Yes,213017.73,654,2586.72,1412.89,633.28,6050.44,45729.57,24016.46,3955.11,Yes
41,Miranda,Berthelsen,miranda.berthelsen33@outlook.com,2003-04-14,Brazil,Single,Female,166,88,+55 49 93482-6357,Brazil,Tarauacá,Acre,69970-000,-8.6552,-71.4234,Developer,3920.0,USD,Full-time,Amazon,Enterprise (5000+),0,Satisfied,0,10,17,2026-07-10,Master,Computer Science,Cambridge,2027.0,37448.4,2.88,A-,No,No,2025-02-17,31.9,Obese,5,None,Omnivore,5.6,Hypertension,None,2,2,No,3,Not Married,48445.37,726,1317.52,502.01,455.96,3941.8,13332.68,39826.55,1644.51,No
42,Tania,Moya,tania.moya86@gmail.com,1978-06-14,Costa Rica,Single,Male,160,103,+506 7411 2702,Costa Rica,San Juan,Provincia de Alajuela,20606,10.1198,-84.4155,Scientist,8551.0,USD,Full-time,Novozymes,Medium (51-500),18,Satisfied,1,23,31,2008-07-14,PhD,Science,Imperial College,2006.0,38847.76,3.91,A-,Yes,No,2026-05-09,40.2,Obese,1,High,Omnivore,7.6,None,None,0,0,No,1,Not Married,102631.85,681,3361.93,858.57,493.83,11587.42,36955.83,93169.1,3836.67,Yes
43,Chiara,Bourgeois,chiara.bourgeois83@gmail.com,1992-10-07,France,Single,Female,193,57,+33 3 10 85 18 11,France,Paris 01,Île-de-France,75047 CEDEX 01,48.8592,2.3417,Designer,4620.0,USD,Full-time,Pentagram,Small (1-50),13,Neutral,0,111,26,2013-07-13,Technical,Design,Vocational School,2013.0,0.0,,O-,Yes,Yes,2025-01-15,15.3,Underweight,11,None,Vegetarian,8.1,Asthma,None,1,1,No,2,Not Married,50251.8,760,1548.03,624.77,307.61,2106.15,21177.59,46037.19,2139.59,No
44,Layla,Ewing,layla.ewing39@gmail.com,1986-07-15,Ukraine,Divorced,Female,186,92,+380 51 926 7208,Ukraine,Зарубинці,Cherkaska,19121,50.0385,29.13,Architect,5989.0,USD,Full-time,Snøhetta,Medium (51-500),13,Satisfied,0,2,30,2013-07-13,Master,Architecture,ETH Zurich,2011.0,10650.83,3.1,O-,No,No,2025-08-11,26.6,Overweight,6,Low,Keto,7.9,None,Pollen,1,1,No,2,Not Married,77682.35,749,1444.73,788.09,309.8,2516.45,24386.71,20810.78,3446.39,Yes
45,Yuridia,Serrato,yuridia.serrato51@gmail.com,1965-03-04,Costa Rica,Widowed,Female,167,79,+506 6090 8436,Costa Rica,Naranjo,Provincia de Alajuela,20601,10.101,-84.3908,Designer,8678.0,USD,Full-time,Samsung Design,Enterprise (5000+),37,Satisfied,1,14,31,1989-07-19,Bachelor,Design,Sorbonne,1987.0,20205.83,3.28,B+,Yes,No,2026-01-25,28.3,Overweight,2,High,Omnivore,8.0,None,Pollen,4,4,No,5,Not Married,107931.62,820,3132.31,1290.61,985.45,1063.54,25129.51,67678.64,3269.64,Yes
46,María Cristina,de la Fuente,maría cristina.de la fuente19@yahoo.com,1979-02-05,Uruguay,Single,Male,171,120,+598 9976 2427,Uruguay,Catalan Grande,Artigas,55000,-30.5878,-56.7362,Farmer,2796.0,USD,Full-time,Huerta de la Vega,Small (1-50),27,Very Unsatisfied,1,82,34,1999-07-17,No degree,,,,0.0,,A-,Yes,No,2025-07-22,41.0,Obese,2,None,Keto,5.5,None,None,2,2,No,3,Not Married,36583.39,730,1121.12,360.28,195.13,292.22,11350.35,8860.06,1119.47,Yes
47,Victoria,Lira,victoria.lira43@yahoo.com,1994-05-28,Uruguay,Married,Female,177,72,+598 9771 5248,Uruguay,Costa Azul,Canelones,15300,-34.7618,-55.6585,Scientist,6259.0,USD,Full-time,Illumina Spain,Medium (51-500),2,Satisfied,1,50,15,2024-07-10,PhD,Science,Yale,2022.0,23906.02,3.23,AB+,Yes,No,2024-08-17,23.0,Normal,12,Low,Pescatarian,7.7,None,Pollen,1,1,No,3,No,70792.67,585,1301.49,1082.63,337.18,7115.12,30457.21,17813.72,3537.7,No
48,Débora,Robles,débora.robles4@yahoo.com,1972-06-21,Chile,Single,Female,150,112,+56 9 1087 4263,Chile,Rinconada,Región de Valparaíso,2140000,-32.876,-70.7068,Designer,6107.0,USD,Freelance,Smart Design,Small (1-50),27,Satisfied,3,88,35,1999-07-17,Bachelor,Design,University of Tokyo,1994.0,22166.04,3.2,B+,Yes,No,2025-11-24,49.8,Obese,0,Low,Omnivore,5.9,None,None,0,0,No,1,Not Married,72674.17,815,1751.58,952.85,657.41,925.94,24859.31,37659.58,2745.16,No
